City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Harbour Breton,CA,47.4833,-55.7983,31.87,79,100,13.11,overcast clouds
1,Ribeira Grande,PT,38.5167,-28.7,60.78,73,98,20.0,overcast clouds
2,Anadyr,RU,64.75,177.4833,-29.0,73,100,11.18,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,75,0,11.5,clear sky
4,Atuona,PF,-9.8,-139.0333,78.66,76,12,13.38,few clouds
5,Clyde River,CA,70.4692,-68.5914,-23.57,76,100,21.85,light snow
6,Souillac,MU,-20.5167,57.5167,82.78,65,75,6.91,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,79.41,72,67,5.77,broken clouds
8,Port Hardy,CA,50.6996,-127.4199,39.38,87,100,25.32,light rain
9,Husavik,IS,66.0449,-17.3389,27.7,77,100,6.15,overcast clouds
10,Faanui,PF,-16.4833,-151.75,82.31,73,5,11.79,clear sky
11,Ortona,IT,42.3496,14.4039,52.84,50,7,3.89,clear sky
12,Bambous Virieux,MU,-20.3428,57.7575,83.21,65,75,6.91,broken clouds
13,East London,ZA,-33.0153,27.9116,70.74,94,75,2.3,broken clouds
14,Lompoc,US,34.6391,-120.4579,43.92,77,0,8.05,clear sky
15,Iqaluit,CA,63.7506,-68.5145,-27.67,68,0,5.75,clear sky
16,Bluff,NZ,-46.6,168.3333,58.8,71,5,4.36,clear sky
17,Okitipupa,NG,6.5047,4.7839,74.23,71,92,2.95,overcast clouds
18,Ushuaia,AR,-54.8,-68.3,35.26,93,75,23.02,light snow
19,Mataura,NZ,-46.1927,168.8643,58.48,57,9,5.17,clear sky
20,Kelo,TD,9.3086,15.8066,70.11,19,95,9.26,overcast clouds
21,Castro,BR,-24.7911,-50.0119,63.88,97,100,6.76,overcast clouds
22,Jamestown,US,42.097,-79.2353,44.19,83,0,12.66,clear sky
23,Irece,BR,-11.3042,-41.8558,71.73,64,82,7.36,broken clouds
24,Tiksi,RU,71.6872,128.8694,-13.05,97,100,6.53,overcast clouds
25,Bethel,US,41.3712,-73.414,57.29,63,0,10.36,clear sky
26,Waynesville,US,35.4887,-82.9887,58.12,86,100,8.01,overcast clouds
27,Najran,SA,17.4924,44.1277,74.05,25,4,2.17,clear sky
28,Hithadhoo,MV,-0.6,73.0833,81.3,76,100,14.92,overcast clouds
29,Noumea,NC,-22.2763,166.4572,80.58,63,7,10.74,clear sky
30,Kieta,PG,-6.2167,155.6333,83.32,77,99,2.64,light rain
31,Hermanus,ZA,-34.4187,19.2345,64.8,88,100,18.48,light rain
32,Thompson,CA,55.7435,-97.8558,-23.64,76,0,3.44,clear sky
33,Namtsy,RU,62.7161,129.6658,-27.38,98,41,1.5,scattered clouds
34,Port Alfred,ZA,-33.5906,26.891,68.18,96,100,14.27,moderate rain
35,Sompeta,IN,18.9333,84.6,83.59,38,0,10.83,clear sky
36,Lagoa,PT,39.05,-27.9833,58.01,76,38,13.33,scattered clouds
37,Chuy,UY,-33.6971,-53.4616,65.88,81,0,8.46,clear sky
38,Moose Jaw,CA,50.4001,-105.5344,5.25,85,70,4.61,broken clouds
39,Albany,US,42.6001,-73.9662,55.81,59,1,1.99,clear sky
40,Arraial Do Cabo,BR,-22.9661,-42.0278,76.77,90,100,6.26,overcast clouds
41,Mecca,SA,21.4267,39.8261,67.89,32,0,9.91,clear sky
42,Ambo,PE,-10.1308,-76.2047,60.69,93,100,0.69,light rain
43,Busselton,AU,-33.65,115.3333,74.26,52,0,14.5,clear sky
44,Qaanaaq,GL,77.484,-69.3632,-18.51,63,24,7.85,few clouds
45,Provideniya,RU,64.3833,-173.3,-17.64,93,100,11.16,overcast clouds
46,Centralia,US,46.7162,-122.9543,33.62,94,75,0.0,broken clouds
47,Dikson,RU,73.5069,80.5464,3.34,92,100,19.95,overcast clouds
48,Ponta Delgada,PT,37.7333,-25.6667,54.32,71,40,1.14,scattered clouds
49,Sao Filipe,CV,14.8961,-24.4956,69.17,72,0,14.92,clear sky
50,Yellowknife,CA,62.456,-114.3525,-26.88,68,40,3.44,scattered clouds
51,Namibe,AO,-15.1961,12.1522,75.0,75,77,2.21,broken clouds
52,Adrar,MR,20.5022,-10.0711,68.36,22,76,9.19,broken clouds
53,Sirari,TZ,-1.2333,34.4333,78.21,35,73,5.14,broken clouds
54,Nikolskoye,RU,59.7035,30.7861,31.89,95,100,7.83,overcast clouds
55,Vaini,TO,-21.2,-175.2,78.96,94,75,5.75,light rain
56,Paamiut,GL,61.994,-49.6678,24.28,92,100,12.12,snow
57,Hilo,US,19.7297,-155.09,69.12,93,40,1.01,scattered clouds
58,Severo-Kurilsk,RU,50.6789,156.125,27.18,71,100,21.14,overcast clouds
59,Visakhapatnam,IN,17.69,83.2093,87.69,40,1,6.91,haze
60,Sinnamary,GF,5.3833,-52.95,75.63,92,79,10.92,broken clouds
61,Terrace,CA,54.5163,-128.6035,35.51,93,100,11.5,mist
62,Butaritari,KI,3.0707,172.7902,80.87,81,85,15.05,light rain
63,Yangjiang,CN,21.85,111.9667,69.49,44,0,7.4,clear sky
64,Mareeba,AU,-17.0,145.4333,75.43,96,100,6.06,moderate rain
65,San Patricio,US,28.017,-97.5169,73.35,84,100,17.05,overcast clouds
66,Dunedin,NZ,-45.8742,170.5036,57.79,77,100,7.0,overcast clouds
67,Hamilton,US,39.1834,-84.5333,57.43,85,0,8.05,clear sky
68,North Bend,US,43.4065,-124.2243,38.86,96,0,10.36,clear sky
69,Georgetown,MY,5.4112,100.3354,89.55,51,20,5.75,few clouds
70,Moanda,GA,-1.5575,13.2178,68.23,77,100,3.49,overcast clouds
71,Manggar,ID,-2.8833,108.2667,83.91,67,100,11.52,overcast clouds
72,Bredasdorp,ZA,-34.5322,20.0403,67.32,80,100,17.9,light rain
73,Lebu,CL,-37.6167,-73.65,55.38,86,1,18.75,clear sky
74,Kapaa,US,22.0752,-159.319,69.78,91,0,4.61,light rain
75,Barrow,US,71.2906,-156.7887,-21.98,76,100,9.22,overcast clouds
76,Vostok,RU,46.4856,135.8833,12.56,78,85,4.63,overcast clouds
77,Trairi,BR,-3.2778,-39.2689,75.16,93,99,5.66,overcast clouds
78,Kaitangata,NZ,-46.2817,169.8464,57.52,69,28,5.82,scattered clouds
79,Dongli,CN,23.5656,116.8194,64.38,45,0,8.95,clear sky
80,Maceio,BR,-9.6658,-35.7353,78.24,94,75,1.14,broken clouds
81,Nanakuli,US,21.3906,-158.1547,75.15,66,20,5.75,light rain
82,Peniche,PT,39.3558,-9.3811,50.11,81,5,5.28,clear sky
83,Powell,US,40.1578,-83.0752,48.9,79,0,8.05,clear sky
84,Salaspils,LV,56.8601,24.3654,33.84,94,100,5.77,overcast clouds
85,Lithakia,GR,37.7167,20.8333,36.68,87,0,0.0,clear sky
86,Port Lincoln,AU,-34.7333,135.8667,78.87,49,24,15.1,few clouds
87,Lata,PT,40.1629,-8.3327,39.92,78,67,3.8,broken clouds
88,Tanout,NE,14.9709,8.8879,56.21,25,0,18.28,clear sky
89,Altay,CN,47.8667,88.1167,20.61,95,100,5.48,snow
90,Le Port,RE,-20.9373,55.2919,84.2,90,31,1.34,scattered clouds
91,Daru,PG,-9.0763,143.2092,86.54,66,60,10.69,broken clouds
92,Hambantota,LK,6.1241,81.1185,86.34,66,0,16.11,clear sky
93,Carutapera,BR,-1.195,-46.02,74.77,95,100,5.44,light rain
94,Chokurdakh,RU,70.6333,147.9167,-36.24,100,94,2.75,overcast clouds
95,Peleduy,RU,59.6289,112.7406,10.98,86,100,7.81,overcast clouds
96,Kupang,ID,-10.1667,123.5833,88.38,74,40,9.22,scattered clouds
97,Paka,MY,4.6374,103.4368,85.93,62,40,8.05,scattered clouds
98,Vila Do Maio,CV,15.1333,-23.2167,66.99,74,0,22.59,clear sky
99,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,79,10,4.38,clear sky
100,Awbari,LY,26.5921,12.7805,46.63,58,68,9.44,broken clouds
101,Saskylakh,RU,71.9167,114.0833,-1.52,98,100,6.26,overcast clouds
102,Rio Claro,BR,-22.4114,-47.5614,68.81,95,100,3.8,overcast clouds
103,Yoshida,JP,37.6833,138.8833,37.29,60,75,6.71,broken clouds
104,Jinchang,CN,38.4953,102.1739,36.97,43,100,1.79,overcast clouds
105,Sorong,ID,-0.8833,131.25,83.77,70,100,8.9,overcast clouds
106,Samarai,PG,-10.6167,150.6667,84.31,74,100,12.8,overcast clouds
107,Acton,GB,51.509,-0.2762,47.93,92,100,9.22,overcast clouds
108,Bartica,GY,6.4,-58.6167,75.52,99,100,2.53,overcast clouds
109,Chebsara,RU,59.2002,38.8356,18.73,98,100,4.65,overcast clouds
110,Deputatskiy,RU,69.3,139.9,-40.76,94,24,5.3,few clouds
111,Tasiilaq,GL,65.6145,-37.6368,19.56,95,100,7.76,light snow
112,Wagar,SD,16.1525,36.2032,71.19,59,0,13.4,clear sky
113,Cape Town,ZA,-33.9258,18.4232,75.11,69,20,19.57,few clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,0,6.91,clear sky
115,Kulhudhuffushi,MV,6.6221,73.07,80.15,71,13,10.11,few clouds
116,Namatanai,PG,-3.6667,152.4333,83.7,71,58,6.31,light rain
117,Phitsanulok,TH,16.9167,100.5,91.54,34,60,2.89,broken clouds
118,Kodiak,US,57.79,-152.4072,17.11,53,0,5.75,clear sky
119,New Norfolk,AU,-42.7826,147.0587,71.1,65,100,1.01,light rain
120,Hasaki,JP,35.7333,140.8333,45.0,51,31,7.2,scattered clouds
121,Odweyne,SO,9.4092,45.064,76.3,34,0,3.33,clear sky
122,Manikpur,IN,25.0667,81.1167,80.74,23,0,8.34,clear sky
123,Smithers,CA,54.7804,-127.1743,34.12,75,100,6.91,overcast clouds
124,Avarua,CK,-21.2078,-159.775,80.65,89,20,3.44,few clouds
125,Luderitz,NA,-26.6481,15.1594,67.51,67,0,17.2,clear sky
126,Calvinia,ZA,-31.4707,19.776,69.62,60,20,11.5,few clouds
127,Rovaniemi,FI,66.5,25.7167,27.81,100,100,13.8,overcast clouds
128,Cherskiy,RU,68.75,161.3,-42.32,100,80,3.74,broken clouds
129,Purranque,CL,-40.9167,-73.1667,47.53,75,99,6.31,overcast clouds
